Index base repeat prompt2
0 0.3 0.3 0.0
1 0.95 0.95 0.35
2 0.9 0.9 0.25
3 0.7 0.75 0.35
4 0.7 0.7 0.45
5 0.4 0.55 0.45
6 0.35 0.45 0.45
7 0.35 0.4 0.4
8 0.3 0.35 0.4
9 0.35 0.25 0.45
10 0.3 0.25 0.45
11 0.3 0.3 0.45
12 0.3 0.2 0.5
13 0.3 0.3 0.5
14 0.3 0.35 0.55
15 0.25 0.3 0.55
16 0.4 0.35 0.6
17 0.4 0.4 0.65
18 0.4 0.4 0.6
19 0.45 0.4 0.7
20 0.45 0.4 0.65
21 0.45 0.4 0.65
22 0.45 0.4 0.65
23 0.4 0.35 0.7
24 0.4 0.35 0.65
25 0.4 0.35 0.7
26 0.4 0.35 0.7
27 0.35 0.4 0.7
28 0.4 0.2 0.7
29 0.4 0.4 0.7
30 0.35 0.25 0.7
31 0.4 0.25 0.7
32 0.35 0.35 0.7
