Index base repeat prompt1 prompt2
0 0.25 0.3 0.0 0.0
1 0.95 0.9 0.0 0.0
2 0.95 0.95 0.0 0.0
3 0.9 0.85 0.0 0.0
4 0.8 0.75 0.0 0.0
5 0.5 0.7 0.0 0.0
6 0.45 0.6 0.95 0.95
7 0.55 0.6 0.95 0.95
8 0.45 0.6 0.95 0.95
9 0.45 0.5 0.95 0.95
10 0.4 0.5 0.95 0.95
11 0.4 0.45 0.95 0.95
12 0.4 0.45 0.95 0.95
13 0.45 0.45 0.95 0.95
14 0.45 0.45 0.95 0.95
15 0.45 0.45 0.9 0.95
16 0.5 0.5 0.9 0.9
17 0.5 0.5 0.9 0.9
18 0.5 0.5 0.85 0.9
19 0.5 0.5 0.85 0.9
20 0.5 0.6 0.85 0.9
21 0.55 0.6 0.85 0.9
22 0.55 0.6 0.85 0.9
23 0.55 0.6 0.85 0.9
24 0.55 0.6 0.85 0.85
25 0.55 0.65 0.85 0.85
26 0.55 0.65 0.8 0.85
27 0.55 0.65 0.8 0.85
28 0.55 0.65 0.8 0.85
29 0.65 0.65 0.8 0.85
30 0.65 0.65 0.8 0.85
31 0.65 0.65 0.8 0.85
32 0.6 0.75 0.9 0.9
