Index base repeat prompt2
0 0.25 0.25 0.0
1 0.95 0.95 0.5
2 0.9 0.9 0.2
3 0.7 0.75 0.55
4 0.7 0.7 0.45
5 0.4 0.55 0.45
6 0.55 0.45 0.4
7 0.35 0.4 0.4
8 0.3 0.3 0.35
9 0.25 0.3 0.4
10 0.3 0.2 0.45
11 0.3 0.2 0.45
12 0.2 0.2 0.45
13 0.25 0.2 0.5
14 0.25 0.25 0.5
15 0.3 0.35 0.55
16 0.3 0.25 0.6
17 0.3 0.2 0.65
18 0.45 0.25 0.65
19 0.45 0.3 0.65
20 0.4 0.35 0.6
21 0.45 0.35 0.7
22 0.45 0.35 0.7
23 0.4 0.35 0.7
24 0.35 0.3 0.65
25 0.35 0.3 0.7
26 0.4 0.25 0.6
27 0.3 0.25 0.75
28 0.3 0.2 0.7
29 0.25 0.2 0.7
30 0.2 0.2 0.65
31 0.2 0.15 0.65
32 0.35 0.3 0.65
