Index base prompt2 repeat
0 0.25 0.0 0.25
1 0.95 0.0 0.8
2 0.95 0.0 0.95
3 0.9 0.0 0.85
4 0.8 0.0 0.8
5 0.5 0.0 0.7
6 0.45 0.0 0.6
7 0.55 0.0 0.6
8 0.45 0.95 0.5
9 0.45 0.95 0.55
10 0.4 0.95 0.5
11 0.4 0.95 0.45
12 0.4 0.95 0.45
13 0.45 0.95 0.4
14 0.45 0.95 0.45
15 0.45 0.9 0.45
16 0.5 0.9 0.45
17 0.5 0.9 0.5
18 0.5 0.9 0.5
19 0.5 0.9 0.5
20 0.5 0.9 0.5
21 0.55 0.85 0.5
22 0.55 0.85 0.6
23 0.55 0.85 0.6
24 0.55 0.85 0.6
25 0.55 0.85 0.65
26 0.55 0.85 0.65
27 0.55 0.85 0.65
28 0.55 0.85 0.65
29 0.65 0.85 0.6
30 0.65 0.85 0.65
31 0.65 0.85 0.55
32 0.6 0.9 0.75
