Index base repeat prompt2
0 0.7 0.7 0.0
1 0.4 0.75 0.3
2 0.55 0.65 0.25
3 0.55 0.75 0.3
4 0.6 0.65 0.25
5 0.5 0.55 0.3
6 0.4 0.45 0.45
7 0.4 0.35 0.45
8 0.4 0.35 0.5
9 0.35 0.25 0.5
10 0.35 0.2 0.45
11 0.35 0.25 0.5
12 0.35 0.2 0.5
13 0.35 0.3 0.45
14 0.35 0.3 0.45
15 0.4 0.25 0.55
16 0.45 0.3 0.65
17 0.45 0.4 0.6
18 0.45 0.35 0.6
19 0.55 0.35 0.65
20 0.55 0.4 0.65
21 0.55 0.35 0.7
22 0.55 0.4 0.7
23 0.5 0.35 0.7
24 0.5 0.35 0.7
25 0.5 0.3 0.7
26 0.35 0.3 0.7
27 0.35 0.3 0.7
28 0.3 0.45 0.7
29 0.3 0.45 0.7
30 0.45 0.45 0.7
31 0.5 0.4 0.7
32 0.45 0.35 0.7
