Index prompt2 repeat base
0 0.0 0.3 0.3
1 0.0 0.9 0.9
2 0.0 0.85 0.85
3 0.0 0.85 0.7
4 0.0 0.75 0.7
5 0.0 0.65 0.6
6 0.95 0.6 0.55
7 0.95 0.55 0.55
8 0.95 0.55 0.55
9 0.95 0.5 0.55
10 0.95 0.45 0.5
11 0.95 0.45 0.45
12 0.95 0.5 0.45
13 0.95 0.5 0.5
14 0.95 0.5 0.5
15 0.95 0.45 0.6
16 0.95 0.5 0.6
17 0.9 0.55 0.6
18 0.9 0.55 0.6
19 0.9 0.55 0.6
20 0.9 0.6 0.65
21 0.9 0.6 0.65
22 0.9 0.6 0.65
23 0.9 0.6 0.6
24 0.9 0.6 0.65
25 0.9 0.65 0.65
26 0.85 0.65 0.65
27 0.9 0.65 0.65
28 0.9 0.65 0.65
29 0.9 0.65 0.7
30 0.9 0.65 0.7
31 0.9 0.65 0.6
32 0.95 0.65 0.3
