Layer	llama ACC	bert ACC
00	0.5371	0.5143
01	0.5564	0.5414
02	0.5779	0.5243
03	0.5871	0.5479
04	0.6214	0.5143
05	0.6421	0.5079
06	0.6650	0.5236
07	0.6836	0.5157
08	0.6686	0.5179
09	0.6679	0.5250
10	0.6707	0.5650
11	0.6314	0.5914
12	0.6571	0.5814
13	0.6421	0.5993
14	0.6450	0.6536
15	0.6407	0.6686
16	0.6286	0.6757
17	0.6264	0.6700
18	0.6243	0.6700
19	0.6200	0.6693
20	0.6436	0.6657
21	0.6443	0.6857
22	0.6250	0.7100
23	0.6329	0.6971
24	0.6371	0.6764
25	0.6200	-1.0000
26	0.6014	-1.0000
27	0.6193	-1.0000
28	0.6050	-1.0000
29	0.6193	-1.0000
30	0.6386	-1.0000
31	0.6243	-1.0000
